代码,名称,新闻匹配分数,今日主力净流入-净额,今日主力净流入-净占比,今日超大单净流入-净额,今日超大单净流入-净占比,今日大单净流入-净额,今日大单净流入-净占比,今日涨跌幅,3日主力净流入-净额,3日主力净流入-净占比,3日超大单净流入-净额,3日超大单净流入-净占比,3日大单净流入-净额,3日大单净流入-净占比,3日涨跌幅,5日主力净流入-净额,5日主力净流入-净占比,5日超大单净流入-净额,5日超大单净流入-净占比,5日大单净流入-净额,5日大单净流入-净占比,5日涨跌幅,综合得分
002465,海格通信,0.030211455880971374,454358320.0,10.55,418200224.0,9.71,36158096.0,0.84,8.0,416027507.0,5.15,374054595.0,4.63,41972912.0,0.52,9.65,514672531.0,4.02,481821107.0,3.76,32851424.0,0.26,16.38,1181.424055655881
002463,沪电股份,0.10762831157596052,186828270.0,13.63,-3246798.0,-0.24,190075068.0,13.87,-0.8,625649092.0,12.69,212881448.0,4.32,412767644.0,8.37,6.1,506877873.0,6.82,65622686.0,0.88,441255187.0,5.94,1.67,1130.951895711576
600358,ST联合,0.03461729319694636,1014246.0,79.7,397764.0,31.26,616482.0,48.44,5.03,5360511.0,84.02,5422434.0,84.99,-61923.0,-0.97,10.36,5360511.0,84.02,5422434.0,84.99,-61923.0,-0.97,10.36,995.193578693197
300476,胜宏科技,0.030211455880971374,181589072.0,4.94,104782336.0,2.85,76806736.0,2.09,2.57,450954640.0,3.81,388918304.0,3.29,62036336.0,0.52,8.1,609585520.0,3.16,772409712.0,4.0,-162824192.0,-0.84,14.26,957.554307455881
300975,商络电子,0.02167678986187483,258649568.0,20.06,175216608.0,13.59,83432960.0,6.47,12.74,256621478.0,15.99,171944580.0,10.72,84676898.0,5.28,17.93,240733004.0,12.96,171155648.0,9.21,69577356.0,3.74,19.19,811.5482295898619
002311,海大集团,0.10762831157596052,62605056.0,7.83,-14331360.0,-1.79,76936416.0,9.63,1.29,187045972.0,10.51,-8381817.0,-0.47,195427789.0,10.98,-0.05,256710039.0,8.35,1545509.0,0.05,255164530.0,8.3,2.57,472.615485311576
601225,陕西煤业,0.10762831157596052,63387715.0,13.4,17525063.0,3.71,45862652.0,9.7,0.14,178361196.0,10.97,72068624.0,4.43,106292572.0,6.54,2.0,208041986.0,7.98,83986388.0,3.22,124055598.0,4.76,0.24,465.82949171157594
600036,招商银行,0.10762831157596052,139000917.0,5.58,381135829.0,15.3,-242134912.0,-9.72,-0.09,243286015.0,4.08,475837983.0,7.99,-232551968.0,-3.9,-0.71,133031129.0,1.39,449343193.0,4.7,-316312064.0,-3.31,-1.41,461.946034711576
000858,五 粮 液,0.10762831157596052,8746603.0,0.47,191047211.0,10.28,-182300608.0,-9.81,-0.69,464555574.0,7.51,950734262.0,15.37,-486178688.0,-7.86,0.22,41892580.0,0.36,775824372.0,6.71,-733931792.0,-6.35,-1.33,439.10423851157594
603056,德邦股份,0.030211455880971374,20594080.0,23.89,29993600.0,34.8,-9399520.0,-10.91,9.99,89698130.0,6.35,203330224.0,14.38,-113632094.0,-8.04,33.08,276625286.0,10.7,424083633.0,16.41,-147458347.0,-5.71,56.51,435.307967055881
